stem,trufor_score,map_npy_path
test_attack_digital_3_huawei_arabic-024_03,0.736433744430542,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_arabic-024_03_map.npy
test_attack_digital_3_huawei_arabic-139_03,0.8485921025276184,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_arabic-139_03_map.npy
test_attack_digital_3_huawei_arabic-NF-1040,0.8190785050392151,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_arabic-NF-1040_map.npy
test_attack_digital_3_huawei_arabic-NM-1029,0.9215821027755737,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_arabic-NM-1029_map.npy
test_attack_digital_3_huawei_chinese-001_03,0.9095175862312317,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_chinese-001_03_map.npy
test_attack_digital_3_huawei_chinese-01_0019_000-06d51424_0,0.7329341769218445,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_chinese-01_0019_000-06d51424_0_map.npy
test_attack_digital_3_huawei_chinese-01_0034_000-9b26d58c_0,0.5650915503501892,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_chinese-01_0034_000-9b26d58c_0_map.npy
test_attack_digital_3_huawei_chinese-081_03,0.7837064862251282,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_chinese-081_03_map.npy
test_attack_digital_3_huawei_chinese-102_03,0.8216308951377869,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_chinese-102_03_map.npy
test_attack_digital_3_huawei_chinese-142_03,0.8666176795959473,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_chinese-142_03_map.npy
test_attack_digital_3_huawei_chinese-NF-1101,0.8444113731384277,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_chinese-NF-1101_map.npy
test_attack_digital_3_huawei_chinese-NM-1092,0.7532090544700623,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_chinese-NM-1092_map.npy
test_attack_digital_3_huawei_french-01_0070_000-a4a25cda_0,0.7849087715148926,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_french-01_0070_000-a4a25cda_0_map.npy
test_attack_digital_3_huawei_french-091_03,0.5496688485145569,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_french-091_03_map.npy
test_attack_digital_3_huawei_french-097_03,0.6075181365013123,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_french-097_03_map.npy
test_attack_digital_3_huawei_french-128_03,0.8597147464752197,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_french-128_03_map.npy
test_attack_digital_3_huawei_french-NF-1063,0.47878625988960266,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_french-NF-1063_map.npy
test_attack_digital_3_huawei_indian-014_03,0.6913979649543762,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_indian-014_03_map.npy
test_attack_digital_3_huawei_indian-037_03,0.7135353088378906,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_indian-037_03_map.npy
test_attack_digital_3_huawei_persian-01_0092_000-fad05fcd_1,0.779279887676239,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_persian-01_0092_000-fad05fcd_1_map.npy
test_attack_digital_3_huawei_persian-NF-1031,0.7806415557861328,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_persian-NF-1031_map.npy
test_attack_digital_3_huawei_persian-NF-1043,0.3532906472682953,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_persian-NF-1043_map.npy
test_attack_digital_3_huawei_persian-NM-1035,0.76621413230896,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_persian-NM-1035_map.npy
test_attack_digital_3_huawei_portugal-105_03,0.3132840096950531,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_portugal-105_03_map.npy
test_attack_digital_3_huawei_portugal-NF-1024,0.2983897030353546,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_portugal-NF-1024_map.npy
test_attack_digital_3_huawei_portugal-NF-1086,0.30433326959609985,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_portugal-NF-1086_map.npy
test_attack_digital_3_huawei_russian-01_0030_000-0bc18d73_0,0.4823286533355713,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_russian-01_0030_000-0bc18d73_0_map.npy
test_attack_digital_3_huawei_russian-01_0075_000-9bed189a_0,0.2857281565666199,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_russian-01_0075_000-9bed189a_0_map.npy
test_attack_digital_3_huawei_russian-140_03,0.6445763111114502,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_russian-140_03_map.npy
test_attack_digital_3_huawei_turkiye-01_0074_000-c54807ec_1,0.6069350838661194,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_turkiye-01_0074_000-c54807ec_1_map.npy
test_attack_digital_3_huawei_turkiye-01_0088_000-3739c168_0,0.6353299617767334,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_turkiye-01_0088_000-3739c168_0_map.npy
test_attack_digital_3_huawei_turkiye-041_03,0.5678242444992065,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_turkiye-041_03_map.npy
test_attack_digital_3_huawei_turkiye-121_03,0.8444182276725769,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_turkiye-121_03_map.npy
test_attack_digital_3_huawei_ukraine-NF-1005,0.30059635639190674,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_ukraine-NF-1005_map.npy
test_attack_digital_3_huawei_ukraine-NF-1057,0.5231148600578308,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_ukraine-NF-1057_map.npy
test_attack_digital_3_huawei_usa-016_03,0.8037765026092529,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_usa-016_03_map.npy
test_attack_digital_3_huawei_usa-136_03,0.9066030979156494,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_usa-136_03_map.npy
test_attack_digital_3_huawei_usa-137_03,0.7721520662307739,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_usa-137_03_map.npy
test_attack_digital_3_huawei_usa-NF-1017,0.5351632237434387,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_usa-NF-1017_map.npy
test_attack_digital_3_huawei_usa-NF-1093,0.629962682723999,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_huawei_usa-NF-1093_map.npy
test_attack_digital_3_iphone15pro_arabic-024_03,0.21544858813285828,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_iphone15pro_arabic-024_03_map.npy
test_attack_digital_3_iphone15pro_arabic-139_03,0.27614399790763855,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_iphone15pro_arabic-139_03_map.npy
test_attack_digital_3_iphone15pro_arabic-NF-1040,0.22615143656730652,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_iphone15pro_arabic-NF-1040_map.npy
test_attack_digital_3_iphone15pro_arabic-NM-1029,0.21100006997585297,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_iphone15pro_arabic-NM-1029_map.npy
test_attack_digital_3_iphone15pro_chinese-001_03,0.8512983322143555,E:\PycharmProjects\DocVerify\sota_comparison\trufor_output\test_attack_digital_3_iphone15pro_chinese-001_03_map.npy
